Category,Id
0,0
1,1
2,2
2,3
0,4
6,5
8,6
6,7
5,8
0,9
0,10
2,11
6,12
6,13
8,14
5,15
6,16
0,17
6,18
6,19
6,20
2,21
2,22
1,23
7,24
9,25
8,26
6,27
2,28
1,29
5,30
7,31
5,32
8,33
1,34
0,35
9,36
6,37
0,38
0,39
2,40
0,41
2,42
6,43
2,44
0,45
1,46
6,47
2,48
1,49
2,50
2,51
9,52
1,53
0,54
9,55
9,56
2,57
6,58
0,59
6,60
5,61
6,62
6,63
1,64
1,65
0,66
9,67
5,68
2,69
7,70
1,71
2,72
2,73
5,74
7,75
1,76
6,77
1,78
8,79
9,80
8,81
1,82
2,83
2,84
8,85
9,86
2,87
1,88
6,89
1,90
6,91
6,92
2,93
8,94
0,95
2,96
7,97
7,98
0,99
9,100
0,101
9,102
6,103
8,104
2,105
1,106
8,107
2,108
7,109
5,110
7,111
0,112
2,113
7,114
5,115
0,116
2,117
7,118
1,119
0,120
7,121
6,122
6,123
7,124
0,125
8,126
5,127
0,128
0,129
1,130
7,131
9,132
2,133
9,134
6,135
2,136
2,137
0,138
2,139
0,140
1,141
1,142
2,143
2,144
6,145
0,146
0,147
1,148
1,149
2,150
1,151
1,152
1,153
9,154
0,155
1,156
1,157
9,158
5,159
6,160
7,161
7,162
1,163
6,164
2,165
0,166
6,167
7,168
2,169
2,170
8,171
9,172
0,173
2,174
2,175
2,176
8,177
7,178
9,179
9,180
1,181
1,182
9,183
1,184
7,185
5,186
6,187
0,188
7,189
6,190
9,191
1,192
6,193
2,194
0,195
2,196
6,197
6,198
9,199
0,200
2,201
2,202
5,203
5,204
8,205
0,206
2,207
1,208
9,209
6,210
2,211
7,212
1,213
5,214
5,215
9,216
6,217
2,218
8,219
7,220
9,221
9,222
0,223
2,224
2,225
5,226
9,227
8,228
1,229
9,230
7,231
6,232
2,233
9,234
7,235
2,236
0,237
9,238
2,239
1,240
5,241
7,242
7,243
0,244
2,245
0,246
9,247
1,248
0,249
8,250
1,251
0,252
2,253
2,254
8,255
6,256
9,257
8,258
0,259
8,260
2,261
2,262
2,263
2,264
9,265
1,266
9,267
2,268
8,269
6,270
8,271
8,272
6,273
7,274
2,275
7,276
5,277
9,278
7,279
8,280
2,281
6,282
8,283
6,284
8,285
0,286
1,287
2,288
2,289
2,290
1,291
8,292
1,293
1,294
0,295
0,296
1,297
7,298
0,299
5,300
2,301
0,302
9,303
6,304
2,305
7,306
6,307
7,308
7,309
1,310
0,311
6,312
0,313
7,314
8,315
7,316
0,317
9,318
2,319
0,320
2,321
9,322
0,323
8,324
7,325
8,326
7,327
7,328
6,329
1,330
2,331
9,332
7,333
6,334
0,335
1,336
6,337
1,338
8,339
6,340
5,341
7,342
0,343
9,344
2,345
9,346
8,347
0,348
6,349
9,350
6,351
2,352
1,353
0,354
6,355
0,356
8,357
9,358
9,359
7,360
2,361
6,362
0,363
7,364
1,365
2,366
7,367
5,368
9,369
8,370
2,371
0,372
2,373
2,374
6,375
0,376
7,377
2,378
9,379
8,380
1,381
9,382
9,383
5,384
1,385
2,386
2,387
9,388
5,389
5,390
0,391
0,392
8,393
5,394
0,395
2,396
2,397
0,398
5,399
0,400
2,401
0,402
2,403
0,404
8,405
7,406
0,407
5,408
0,409
9,410
0,411
5,412
6,413
7,414
7,415
5,416
8,417
2,418
6,419
0,420
2,421
0,422
9,423
8,424
2,425
1,426
0,427
0,428
6,429
2,430
9,431
2,432
0,433
1,434
2,435
7,436
8,437
1,438
8,439
2,440
7,441
1,442
2,443
0,444
7,445
8,446
7,447
6,448
5,449
1,450
6,451
0,452
0,453
5,454
8,455
2,456
9,457
9,458
5,459
5,460
8,461
0,462
0,463
0,464
2,465
7,466
1,467
7,468
6,469
7,470
5,471
9,472
0,473
0,474
5,475
0,476
6,477
7,478
6,479
8,480
6,481
0,482
7,483
1,484
1,485
2,486
9,487
7,488
2,489
8,490
2,491
2,492
8,493
8,494
1,495
7,496
1,497
9,498
1,499
8,500
1,501
2,502
2,503
9,504
0,505
8,506
0,507
6,508
0,509
2,510
5,511
7,512
0,513
2,514
0,515
0,516
2,517
9,518
2,519
5,520
2,521
0,522
8,523
2,524
2,525
5,526
5,527
0,528
7,529
8,530
9,531
5,532
9,533
7,534
2,535
2,536
2,537
2,538
1,539
8,540
2,541
6,542
1,543
2,544
7,545
1,546
7,547
5,548
7,549
7,550
1,551
7,552
0,553
2,554
8,555
2,556
8,557
2,558
8,559
8,560
0,561
5,562
0,563
2,564
7,565
8,566
6,567
2,568
6,569
6,570
7,571
9,572
6,573
7,574
8,575
5,576
0,577
1,578
1,579
2,580
7,581
6,582
2,583
7,584
0,585
2,586
2,587
0,588
2,589
1,590
2,591
0,592
2,593
7,594
2,595
9,596
7,597
8,598
1,599
1,600
0,601
7,602
5,603
9,604
8,605
7,606
1,607
0,608
6,609
7,610
9,611
2,612
2,613
6,614
8,615
0,616
1,617
8,618
9,619
1,620
7,621
8,622
7,623
9,624
8,625
1,626
8,627
0,628
9,629
2,630
7,631
9,632
6,633
7,634
9,635
8,636
1,637
6,638
8,639
2,640
9,641
2,642
2,643
8,644
5,645
6,646
0,647
5,648
1,649
0,650
9,651
5,652
1,653
9,654
9,655
6,656
6,657
2,658
0,659
9,660
2,661
1,662
1,663
8,664
7,665
7,666
5,667
8,668
8,669
2,670
5,671
8,672
1,673
2,674
2,675
6,676
7,677
0,678
7,679
6,680
7,681
7,682
1,683
0,684
8,685
1,686
0,687
6,688
8,689
2,690
0,691
1,692
8,693
0,694
7,695
2,696
7,697
0,698
9,699
1,700
1,701
0,702
2,703
7,704
8,705
2,706
7,707
8,708
9,709
0,710
1,711
1,712
5,713
9,714
6,715
9,716
9,717
7,718
1,719
2,720
9,721
0,722
1,723
7,724
0,725
0,726
5,727
1,728
9,729
8,730
7,731
1,732
9,733
1,734
0,735
1,736
5,737
9,738
2,739
9,740
1,741
9,742
1,743
8,744
8,745
0,746
0,747
8,748
9,749
7,750
9,751
0,752
5,753
9,754
0,755
2,756
7,757
7,758
0,759
1,760
9,761
8,762
1,763
6,764
8,765
5,766
1,767
8,768
8,769
0,770
2,771
5,772
1,773
2,774
8,775
1,776
2,777
1,778
6,779
7,780
0,781
7,782
8,783
8,784
8,785
6,786
0,787
2,788
7,789
8,790
1,791
9,792
0,793
5,794
2,795
2,796
8,797
0,798
1,799
1,800
6,801
1,802
2,803
0,804
9,805
9,806
0,807
1,808
9,809
9,810
2,811
7,812
9,813
5,814
5,815
8,816
0,817
1,818
0,819
1,820
7,821
9,822
0,823
5,824
2,825
6,826
5,827
2,828
9,829
8,830
7,831
5,832
2,833
9,834
0,835
8,836
7,837
6,838
7,839
1,840
7,841
6,842
8,843
8,844
9,845
9,846
0,847
2,848
8,849
9,850
7,851
6,852
0,853
2,854
5,855
0,856
0,857
8,858
8,859
9,860
2,861
2,862
8,863
2,864
2,865
6,866
9,867
6,868
9,869
7,870
5,871
9,872
9,873
2,874
7,875
2,876
7,877
8,878
0,879
0,880
1,881
8,882
1,883
0,884
0,885
0,886
2,887
9,888
7,889
1,890
0,891
1,892
7,893
1,894
9,895
8,896
9,897
0,898
6,899
0,900
0,901
0,902
2,903
5,904
5,905
6,906
0,907
6,908
6,909
9,910
1,911
0,912
0,913
1,914
0,915
8,916
7,917
0,918
7,919
6,920
2,921
2,922
8,923
8,924
8,925
2,926
5,927
2,928
8,929
8,930
1,931
0,932
2,933
8,934
0,935
0,936
2,937
1,938
2,939
1,940
1,941
6,942
5,943
2,944
5,945
0,946
2,947
0,948
2,949
9,950
0,951
5,952
0,953
5,954
2,955
1,956
8,957
7,958
0,959
2,960
6,961
0,962
0,963
6,964
0,965
9,966
2,967
6,968
9,969
0,970
0,971
6,972
7,973
2,974
7,975
1,976
6,977
7,978
2,979
1,980
9,981
1,982
1,983
8,984
8,985
2,986
6,987
6,988
9,989
0,990
5,991
6,992
0,993
2,994
9,995
6,996
9,997
2,998
5,999
2,1000
2,1001
2,1002
9,1003
2,1004
2,1005
8,1006
5,1007
1,1008
0,1009
8,1010
6,1011
1,1012
8,1013
2,1014
2,1015
8,1016
7,1017
9,1018
0,1019
8,1020
5,1021
9,1022
2,1023
1,1024
6,1025
8,1026
5,1027
2,1028
7,1029
5,1030
1,1031
8,1032
0,1033
7,1034
0,1035
2,1036
7,1037
0,1038
9,1039
8,1040
2,1041
5,1042
7,1043
5,1044
9,1045
8,1046
0,1047
2,1048
2,1049
6,1050
2,1051
7,1052
6,1053
1,1054
2,1055
0,1056
8,1057
8,1058
8,1059
9,1060
